# CustomerID,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
15651868.000,0.000,38.750,1.500,2.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,2.000,76.000,1.000
15716082.000,0.000,22.250,1.250,1.000,1.000,1.000,3.250,0.000,0.000,0.000,0.000,2.000,280.000,1.000
15651460.000,0.000,69.500,6.000,2.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000
15672637.000,0.000,36.750,4.710,2.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,2.000,160.000,1.000
15752344.000,0.000,21.080,5.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,1.000
15736533.000,0.000,31.570,11.250,2.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,2.000,184.000,5201.000
15779207.000,0.000,27.330,1.665,2.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,2.000,340.000,2.000
15611409.000,0.000,23.580,0.585,1.000,1.000,1.000,0.125,0.000,0.000,0.000,0.000,2.000,120.000,88.000
15636454.000,0.000,52.170,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,1.000
15615296.000,0.000,17.920,10.210,2.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,51.000
